customerID,gender,SeniorCitizen,Partner,Dependents
7410-OIEDU,Male,0,No,No
2273-QCKXA,Male,0,No,No
0731-EBJQB,Female,0,Yes,Yes
1891-QRQSA,Male,1,Yes,Yes
8028-PNXHQ,Male,0,Yes,Yes
5630-AHZIL,Female,0,No,Yes
2673-CXQEU,Female,1,No,No
6416-JNVRK,Female,0,No,No
5590-ZSKRV,Female,0,Yes,Yes
0191-ZHSKZ,Male,1,No,No
3887-PBQAO,Female,0,Yes,Yes
5919-TMRGD,Female,0,No,Yes
8108-UXRQN,Female,0,Yes,Yes
9191-MYQKX,Female,0,Yes,No
9919-YLNNG,Female,0,No,No
0318-ZOPWS,Female,0,Yes,No
4445-ZJNMU,Male,0,No,No
4808-YNLEU,Female,0,Yes,No
1862-QRWPE,Female,0,Yes,Yes
2796-NNUFI,Female,0,Yes,Yes
3016-KSVCP,Male,0,Yes,No
4767-HZZHQ,Male,0,Yes,Yes
2424-WVHPL,Male,1,No,No
7233-PAHHL,Male,0,Yes,Yes
6067-NGCEU,Female,0,No,No
9848-JQJTX,Male,0,No,No
8637-XJIVR,Female,0,No,No
9803-FTJCG,Male,0,Yes,Yes
0278-YXOOG,Male,0,No,No
3212-KXOCR,Male,0,No,No
4598-XLKNJ,Female,1,Yes,No
6380-ARCEH,Male,0,No,No
3679-XASPY,Female,0,Yes,Yes
7123-WQUHX,Male,0,No,No
5386-THSLQ,Female,1,Yes,No
3192-NQECA,Male,0,Yes,No
6180-YBIQI,Male,0,No,No
6728-DKUCO,Female,0,Yes,Yes
9750-BOOHV,Female,0,No,No
8597-CWYHH,Male,0,No,No
2848-YXSMW,Male,0,Yes,Yes
0486-HECZI,Male,0,Yes,No
4549-ZDQYY,Female,0,No,No
5712-AHQNN,Female,0,No,No
4846-WHAFZ,Female,1,Yes,No
5256-SKJGO,Female,0,Yes,Yes
3071-VBYPO,Male,0,Yes,Yes
9560-BBZXK,Female,0,No,No
5299-RULOA,Female,0,Yes,Yes
8402-OOOHJ,Female,0,No,No
9445-ZUEQE,Male,0,Yes,Yes
1091-SOZGA,Female,0,Yes,Yes
2928-HLDBA,Female,0,No,No
0404-SWRVG,Male,0,No,No
6497-TILVL,Female,0,Yes,Yes
7219-TLZHO,Female,0,Yes,Yes
4622-YNKIJ,Male,0,No,No
4412-YLTKF,Female,1,No,No
6734-PSBAW,Male,0,Yes,No
3930-ZGWVE,Male,0,No,No
2639-UGMAZ,Male,1,No,No
2876-GZYZC,Female,0,No,No
6207-WIOLX,Female,0,Yes,Yes
8587-XYZSF,Male,0,No,No
3091-FYHKI,Male,0,No,No
2372-HWUHI,Male,0,No,No
7799-LGRDP,Female,0,No,No
7850-VWJUU,Female,0,No,No
3774-VBNXY,Female,0,Yes,Yes
6217-KDYWC,Male,0,No,Yes
0390-DCFDQ,Female,1,Yes,No
3146-MSEGF,Female,1,Yes,Yes
4080-OGPJL,Female,0,No,No
1095-WGNGG,Female,0,Yes,No
2636-SJDOU,Male,0,No,No
1131-QQZEB,Male,1,Yes,No
5716-EZXZN,Female,0,Yes,Yes
6837-BJYDQ,Male,0,No,No
2135-RXIHG,Male,0,No,No
6440-DKQGE,Male,0,No,Yes
3466-BYAVD,Male,0,Yes,Yes
3780-YVMFA,Female,0,Yes,Yes
3874-EQOEP,Male,0,No,No
1679-JRFBR,Female,0,Yes,Yes
9073-ZZIAY,Male,0,Yes,Yes
3077-RSNTJ,Female,0,Yes,Yes
6551-GNYDG,Female,0,Yes,Yes
9167-APMXZ,Female,0,No,No
2749-CTKAJ,Male,0,Yes,Yes
6371-NZYEG,Male,0,Yes,Yes
7554-NEWDD,Male,0,No,No
8992-VONJD,Female,0,No,Yes
0867-MKZVY,Female,0,Yes,No
4482-EWFMI,Female,0,No,No
4648-YPBTM,Male,0,No,No
2907-ILJBN,Female,0,Yes,Yes
6345-FZOQH,Male,0,Yes,No
3376-BMGFE,Female,0,No,No
5997-OPVFA,Male,0,Yes,No
3445-HXXGF,Male,1,Yes,No
1159-WFSGR,Female,0,Yes,Yes
7654-YWJUF,Male,0,Yes,No
1875-QIVME,Female,0,Yes,No
6727-IOTLZ,Male,0,Yes,No
0691-JVSYA,Female,0,Yes,No
5918-VUKWP,Female,0,No,No
1744-JHKYS,Female,0,Yes,No
2656-FMOKZ,Female,1,No,No
2070-FNEXE,Female,1,No,No
5947-SGKCL,Female,0,Yes,Yes
3712-PKXZA,Male,0,Yes,No
6317-YPKDH,Female,0,No,No
6582-OIVSP,Female,0,No,No
9367-WXLCH,Male,0,No,No
5524-KHNJP,Male,0,Yes,Yes
1918-ZBFQJ,Female,0,No,No
1024-GUALD,Female,0,Yes,No
4827-USJHP,Male,0,No,No
8167-GJLRN,Male,0,No,No
0956-SYCWG,Female,0,No,No
8017-UVSZU,Female,0,Yes,No
7100-FQPRV,Male,0,Yes,Yes
2472-OVKUP,Male,0,Yes,No
2984-RGEYA,Female,0,Yes,Yes
9680-NIAUV,Female,0,Yes,Yes
2146-EGVDT,Male,0,Yes,Yes
2604-IJPDU,Female,0,Yes,No
9178-JHUVJ,Male,0,Yes,Yes
6168-YBYNP,Male,0,No,No
7255-SSFBC,Male,0,Yes,Yes
3645-DEYGF,Male,0,No,Yes
9323-HGFWY,Female,0,Yes,No
8544-GOQSH,Female,0,No,No
3363-DTIVD,Male,0,Yes,Yes
7018-WBJNK,Male,0,No,Yes
9142-KZXOP,Male,0,No,No
7674-YTAFD,Female,0,No,No
6348-SNFUS,Male,0,Yes,Yes
1285-OKIPP,Male,0,No,No
7825-ECJRF,Female,0,No,No
1347-KTTTA,Male,0,Yes,No
7841-TZDMQ,Male,0,No,No
4195-NZGTA,Female,0,No,No
7157-SMCFK,Male,0,No,Yes
4709-LKHYG,Female,0,Yes,Yes
2504-DSHIH,Male,1,Yes,No
0699-NDKJM,Female,0,Yes,No
9286-BHDQG,Male,0,Yes,Yes
0230-WEQUW,Male,0,Yes,No
2040-LDIWQ,Male,0,Yes,Yes
6496-JDSSB,Female,0,No,No
9408-SSNVZ,Female,0,No,No
4443-EMBNA,Female,0,Yes,No
6469-MRVET,Male,0,Yes,Yes
0742-MOABM,Male,0,Yes,No
5961-VUSRV,Female,0,No,No
6778-JFCMK,Male,0,No,No
6341-JVQGF,Female,0,Yes,Yes
2232-DMLXU,Female,0,Yes,No
4811-JBUVU,Male,0,No,No
0945-TSONX,Female,0,Yes,Yes
2651-ZCBXV,Male,0,No,No
3316-UWXUY,Male,0,No,No
8937-RDTHP,Male,0,No,No
7083-MIOPC,Female,0,No,No
1984-GPTEH,Female,0,No,No
1251-KRREG,Male,0,No,No
0621-JFHOL,Female,0,No,No
9903-LYSAB,Male,0,Yes,No
0094-OIFMO,Female,1,No,No
9227-UAQFT,Male,0,No,No
7301-ABVAD,Female,0,No,No
6614-FHDBO,Male,0,No,No
7576-ASEJU,Female,0,Yes,Yes
9058-HRZSV,Female,1,Yes,No
4522-AKYLR,Female,1,No,No
0221-WMXNQ,Male,1,No,No
0303-UNCIP,Male,0,No,No
9947-OTFQU,Male,1,No,No
0322-YINQP,Male,0,No,No
0959-WHOKV,Male,0,No,No
4075-JFPGR,Female,0,Yes,No
4629-NRXKX,Female,0,Yes,Yes
9514-JDSKI,Male,1,Yes,No
3282-ZISZV,Male,0,No,Yes
3675-YDUPJ,Male,0,No,No
4111-BNXIF,Female,0,Yes,Yes
7017-VFHAY,Female,0,Yes,Yes
6655-LHBYW,Male,0,No,No
4959-JOSRX,Female,0,Yes,No
5046-NUHWD,Female,1,Yes,No
7273-TEFQD,Male,1,No,No
3606-TWKGI,Male,1,No,No
7529-ZDFXI,Male,1,Yes,No
7605-BDWDC,Female,0,No,No
1950-KSVVJ,Female,0,Yes,No
0123-CRBRT,Female,0,Yes,Yes
6292-TOSSS,Male,0,No,No
3197-ARFOY,Female,1,No,No
6323-AYBRX,Male,0,No,No
7014-ZZXAW,Female,0,Yes,No
4385-GZQXV,Female,1,No,No
7633-MVPUY,Male,0,Yes,No
6366-ZGQGL,Male,0,No,No
4716-HHKQH,Male,1,Yes,No
5940-AHUHD,Male,0,No,No
6432-TWQLB,Male,0,Yes,No
4484-GLZOU,Female,0,Yes,No
3179-GBRWV,Male,1,Yes,No
8645-KWHJO,Male,0,No,No
4130-MZLCC,Female,0,No,No
0314-TKOSI,Female,0,No,No
8229-MYEJZ,Female,0,No,No
2080-SRCDE,Female,0,No,Yes
9577-WJVCQ,Female,0,No,No
9512-UIBFX,Male,0,Yes,Yes
6202-DYYFX,Female,0,No,No
3808-HFKDE,Female,0,No,No
5583-SXDAG,Male,0,Yes,No
3488-PGMQJ,Male,1,No,No
3580-REOAC,Male,0,No,No
7534-BFESC,Male,1,No,No
3727-OWVYD,Male,0,No,No
2294-SALNE,Male,0,Yes,Yes
4847-TAJYI,Female,1,No,No
1563-IWQEX,Female,0,No,No
8203-XJZRC,Male,0,No,No
6556-DBKZF,Female,0,Yes,Yes
6851-WEFYX,Male,1,Yes,No
2985-JUUBZ,Male,0,Yes,Yes
6390-DSAZX,Female,0,No,Yes
0895-LMRSF,Male,0,No,No
8098-LLAZX,Female,1,No,No
8266-VBFQL,Male,0,No,No
8181-YHCMF,Female,0,Yes,Yes
2240-HSJQD,Male,0,No,Yes
1248-DYXUB,Male,0,Yes,Yes
0265-EDXBD,Male,1,Yes,No
4115-BNPJY,Male,0,Yes,Yes
3167-SNQPL,Male,1,Yes,Yes
4091-TVOCN,Male,0,No,Yes
1098-TDVUQ,Female,0,No,No
7277-OZCGZ,Female,0,No,No
1557-EMYVT,Female,0,No,No
2799-ARNLO,Female,1,Yes,No
7563-BIUPC,Male,0,No,No
5027-YOCXN,Male,0,Yes,Yes
3973-SKMLN,Male,0,No,No
2321-OMBXY,Female,0,Yes,Yes
2840-XANRC,Male,1,Yes,No
6745-JEFZB,Male,0,Yes,No
5020-ZSTTY,Female,1,No,No
9880-TDQAC,Female,0,Yes,Yes
8705-WZCYL,Male,0,No,No
7102-JJVTX,Female,0,Yes,Yes
8626-PTQGE,Male,0,No,No
4983-CLMLV,Female,0,Yes,No
5701-YVSVF,Female,1,Yes,No
5804-LEPIM,Female,1,No,No
5697-GOMBF,Female,1,Yes,Yes
2739-CACDQ,Female,1,No,No
9385-EHGDO,Female,0,Yes,Yes
9498-FIMXL,Female,0,No,No
2379-GYFLQ,Male,0,No,No
0122-OAHPZ,Female,0,No,No
2868-SNELZ,Female,0,No,No
4322-RCYMT,Male,0,Yes,Yes
6680-NENYN,Female,0,No,No
2088-IEBAU,Female,0,No,No
7982-VCELR,Female,0,No,No
1343-EHPYB,Male,0,Yes,No
6035-BXTTY,Female,1,No,No
6885-PKOAM,Female,0,Yes,No
7520-HQWJU,Female,0,Yes,Yes
9639-BUJXT,Male,0,No,No
5924-SNGKP,Female,0,No,Yes
0021-IKXGC,Female,1,No,No
2034-GDRCN,Female,0,No,No
8966-SNIZF,Female,0,Yes,No
6243-OZGFH,Female,0,No,No
4654-DLAMQ,Female,1,Yes,No
0513-RBGPE,Male,0,Yes,Yes
5160-UXJED,Male,0,No,Yes
4115-NZRKS,Female,1,No,No
0219-YTZUE,Male,0,Yes,Yes
0623-IIHUG,Female,1,No,No
4572-DVCGN,Female,0,No,No
3351-NGXYI,Female,1,No,No
8984-EYLLL,Male,0,Yes,No
9057-MSWCO,Male,1,Yes,No
9833-TGFHX,Male,0,Yes,Yes
9294-TDIPC,Male,0,No,Yes
5229-DTFYB,Female,0,No,No
0104-PPXDV,Male,0,Yes,No
5176-LMJXE,Female,0,No,No
3583-KRKMD,Male,0,No,No
1010-DIAUQ,Male,0,No,No
9069-LGEUL,Male,0,Yes,No
7302-ZHMHP,Female,0,No,No
9571-EDEBV,Male,0,Yes,No
3520-FJGCV,Male,0,Yes,Yes
6563-VRERX,Male,0,Yes,Yes
0259-GBZSH,Male,0,No,No
6122-EFVKN,Male,0,No,Yes
2805-EDJPQ,Female,0,Yes,Yes
6862-CQUMB,Male,0,No,No
7156-MXBJE,Female,0,No,No
6158-HDPXZ,Male,0,No,No
9601-BRXPO,Female,0,Yes,No
2863-IMQDR,Female,0,No,No
5686-CMAWK,Male,0,No,No
5651-CRHKQ,Female,0,Yes,No
6905-NIQIN,Male,0,No,No
8204-YJCLA,Male,1,Yes,Yes
5167-ZFFMM,Male,0,No,No
6583-SZVGP,Male,0,No,No
4895-TMWIR,Male,1,Yes,No
0533-BNWKF,Female,1,Yes,No
1708-PBBOA,Female,0,No,No
8782-LKFPK,Male,0,No,No
5522-JBWMO,Male,0,No,Yes
3597-MVHJT,Female,0,No,No
9774-NRNAU,Male,1,Yes,No
0224-RLWWD,Female,1,No,No
9967-ATRFS,Female,0,No,No
3951-NJCVI,Female,1,Yes,No
2977-CEBSX,Female,0,No,No
0177-PXBAT,Male,1,Yes,No
6599-CEBNN,Female,0,No,No
2519-ERQOJ,Male,1,No,No
5876-QMYLD,Female,0,Yes,Yes
2277-AXSDC,Female,0,No,No
9442-JTWDL,Female,0,No,No
0979-PHULV,Male,0,Yes,Yes
3067-SVMTC,Female,0,Yes,No
5495-GPSRW,Male,0,No,No
7606-BPHHN,Male,0,No,No
4742-DRORA,Male,0,Yes,Yes
0111-KLBQG,Male,1,Yes,Yes
4800-VHZKI,Female,0,No,No
7989-CHGTL,Male,0,No,No
0334-GDDSO,Male,1,No,No
4163-NCJAK,Female,0,Yes,No
5233-AOZUF,Female,0,Yes,No
5973-EJGDP,Male,0,No,No
1996-DBMUS,Female,1,Yes,No
7916-VCCPB,Female,0,Yes,Yes
4686-GEFRM,Male,0,Yes,No
5249-QYHEX,Female,0,Yes,Yes
0578-SKVMF,Female,0,Yes,Yes
5564-NEMQO,Female,1,No,No
2233-FAGXV,Female,0,Yes,Yes
5605-IYGFG,Female,0,No,No
7663-ZTEGJ,Male,0,No,Yes
3935-TBRZZ,Male,0,Yes,Yes
8111-BKVDS,Female,0,No,No
2055-SIFSS,Female,1,Yes,No
2806-MLNTI,Male,1,Yes,No
8734-DKSTZ,Female,0,Yes,Yes
4360-PNRQB,Male,0,No,No
6152-ONASV,Female,0,Yes,No
9063-ZGTUY,Female,0,Yes,Yes
7781-HVGMK,Female,0,Yes,Yes
2181-UAESM,Male,0,No,No
2957-LOLHO,Male,0,No,No
6048-NJXHX,Male,0,Yes,No
2320-SLKMB,Female,0,No,No
4980-URKXC,Male,0,Yes,No
4376-KFVRS,Male,0,Yes,Yes
5886-VLQVU,Male,0,Yes,No
3577-AMVUX,Male,0,No,No
0771-WLCLA,Female,0,Yes,Yes
5628-RKIFK,Female,1,No,No
0206-TBWLC,Female,0,Yes,No
2937-FTHUR,Female,0,No,Yes
1910-FMXJM,Female,0,Yes,No
7752-XUSCI,Female,0,No,No
4110-PFEUZ,Female,0,No,No
0732-OCQOC,Female,0,Yes,Yes
5168-MSWXT,Male,0,Yes,Yes
1090-ESELR,Male,0,Yes,Yes
8592-PLTMQ,Female,0,No,No
5760-WRAHC,Female,1,No,No
8847-GEOOQ,Male,0,Yes,No
0256-LTHVJ,Female,0,Yes,Yes
4785-FCIFB,Female,0,Yes,No
8313-NDOIA,Female,0,No,No
5149-CUZUJ,Male,0,Yes,Yes
0942-KOWSM,Female,0,Yes,Yes
4237-CLSMM,Male,0,Yes,No
1452-VOQCH,Male,0,No,No
4719-UMSIY,Male,0,No,Yes
6614-VBEGU,Female,0,Yes,No
0880-TKATG,Male,0,Yes,Yes
3811-VBYBZ,Male,0,No,No
1480-BKXGA,Male,1,Yes,No
2996-XAUVF,Male,0,No,No
9076-AXYIK,Male,1,Yes,No
5968-XQIVE,Male,0,Yes,Yes
8896-RAZCR,Female,0,No,Yes
4640-UHDOS,Female,0,Yes,Yes
4933-IKULF,Female,1,No,No
3583-EKAPL,Male,0,No,No
1304-BCCFO,Male,0,Yes,No
4104-PVRPS,Male,0,Yes,No
9399-APLBT,Female,0,Yes,Yes
2359-KMGLI,Male,0,No,No
3780-DDGSE,Male,1,Yes,Yes
4431-EDMIQ,Female,0,Yes,Yes
0306-JAELE,Male,0,No,No
6227-HWPWX,Female,0,No,Yes
0486-LGCCH,Male,0,Yes,Yes
0447-BEMNG,Female,0,Yes,No
4612-SSVHJ,Female,1,No,No
5168-MQQCA,Female,0,Yes,No
5949-XIKAE,Female,0,Yes,Yes
7971-HLVXI,Male,0,Yes,Yes
9094-AZPHK,Female,0,No,No
3649-JPUGY,Male,0,No,No
4472-LVYGI,Female,0,Yes,Yes
8372-JUXUI,Male,0,No,Yes
3552-CTCYF,Male,0,Yes,Yes
6778-YSNIH,Female,0,No,No
0388-EOPEX,Female,0,Yes,No
5756-OZRIO,Male,1,Yes,No
6579-JPICP,Male,0,No,No
8205-OTCHB,Male,0,No,No
4134-BSXLX,Male,0,Yes,No
0505-SPOOW,Female,0,Yes,No
6235-VDHOM,Female,1,No,No
7783-YKGDV,Female,0,No,No
4374-YMUSQ,Male,0,No,No
4513-CXYIX,Female,1,Yes,No
3957-HHLMR,Female,0,Yes,Yes
7803-XOCCZ,Female,0,Yes,Yes
5736-YEJAX,Male,0,No,Yes
5609-CEBID,Female,1,No,No
8981-FJGLA,Male,0,No,Yes
7218-HKQFK,Male,0,Yes,No
4636-QRJKY,Female,0,Yes,Yes
1135-LMECX,Female,0,No,No
4332-MUOEZ,Male,1,Yes,Yes
8535-SFUTN,Male,0,No,No
5956-VKDTT,Female,1,Yes,No
8677-HDZEE,Female,0,No,No
2475-MROZF,Male,0,No,No
9412-GHEEC,Male,0,No,No
3482-ABPKK,Female,0,No,No
6705-LXORM,Female,1,Yes,No
0257-ZESQC,Female,1,Yes,No
7531-GQHME,Male,0,No,No
5174-ITUMV,Male,0,Yes,Yes
4109-CYRBD,Male,1,Yes,No
0913-XWSCN,Male,0,Yes,Yes
6825-UYPFK,Female,0,No,No
8397-MVTAZ,Male,0,Yes,No
0750-EBAIU,Male,0,No,No
8606-CIQUL,Male,1,Yes,Yes
3571-DPYUH,Male,0,Yes,Yes
7601-GNDYK,Male,0,Yes,Yes
0356-OBMAC,Female,1,No,No
8067-NIOYM,Female,0,Yes,Yes
1403-GYAFU,Male,0,Yes,Yes
4234-XTNEA,Male,0,No,No
1297-VQDRP,Male,1,Yes,Yes
9282-IZGQK,Female,0,No,No
5348-CAGXB,Male,0,No,No
0621-HJWXJ,Female,0,Yes,No
5844-QVTAT,Female,0,Yes,Yes
8905-IAZPF,Female,0,Yes,No
5394-MEITZ,Female,0,Yes,Yes
6859-QNXIQ,Female,0,Yes,Yes
2782-LFZVW,Female,0,No,No
2866-IKBTM,Female,0,No,No
1342-JPNKI,Male,0,No,No
2817-NTQDO,Male,0,No,No
7129-AZJDE,Male,0,Yes,Yes
6986-IJDHX,Male,0,Yes,Yes
2560-PPCHE,Female,0,No,No
4676-MQUEA,Male,1,Yes,No
8138-EALND,Male,0,No,No
3580-HYCSP,Male,0,Yes,Yes
1352-HNSAW,Female,0,Yes,Yes
2075-PUEPR,Male,0,Yes,Yes
1982-FEBTD,Female,0,Yes,Yes
5301-GAUUY,Male,0,No,No
5791-KAJFD,Female,0,Yes,Yes
2654-VBVPB,Female,0,No,No
1154-HYWWO,Male,0,No,No
2501-XWWTZ,Male,0,No,No
3716-UVSPD,Male,0,No,No
6815-ABQFQ,Male,0,Yes,No
7343-EOBEU,Male,0,Yes,No
3701-SFMUH,Male,0,Yes,Yes
6103-LIANB,Male,0,Yes,Yes
7319-VENRZ,Male,0,No,No
5846-NEQVZ,Male,0,Yes,Yes
6967-QIQRV,Male,0,Yes,Yes
5781-RFZRP,Male,0,Yes,No
0939-YAPAF,Female,0,No,No
0308-IVGOK,Female,0,No,No
7293-LSCDV,Female,0,Yes,Yes
7025-WCBNE,Male,1,No,No
5756-JYOJT,Female,0,No,No
4710-FDUIZ,Male,0,Yes,No
6030-REHUX,Female,1,Yes,No
9548-LIGTA,Male,0,Yes,No
5150-LJNSR,Male,0,Yes,Yes
8270-RKSAP,Male,0,No,No
6522-YRBXD,Male,1,Yes,No
2640-LYMOV,Male,0,No,No
1218-VKFPE,Female,0,Yes,Yes
3627-FHKBK,Female,0,No,No
2865-TCHJW,Female,1,No,No
1423-BMPBQ,Female,0,Yes,Yes
2393-DIVAI,Female,0,No,No
5192-EBGOV,Female,1,No,No
4568-KNYWR,Male,0,No,No
8752-IMQOS,Male,0,Yes,Yes
0742-LAFQK,Male,0,Yes,No
0795-LAFGP,Male,0,Yes,Yes
0619-OLYUR,Male,0,Yes,No
5512-IDZEI,Male,0,Yes,Yes
0459-SPZHJ,Male,0,Yes,Yes
0215-BQKGS,Male,0,No,No
9244-ZVAPM,Male,0,No,No
0719-SYFRB,Female,0,No,No
8208-EUMTE,Male,0,No,No
5172-MIGPM,Male,0,No,No
1710-RCXUS,Male,0,Yes,No
0374-FIUCA,Male,0,Yes,No
5839-SUYVZ,Male,0,No,No
5173-ZXXXL,Male,0,No,No
1096-ADRUX,Female,0,Yes,Yes
2001-MCUUW,Male,0,No,No
2731-GJRDG,Female,0,No,No
4723-BEGSG,Male,0,Yes,No
6516-NKQBO,Male,0,Yes,Yes
8672-OAUPW,Male,0,No,Yes
8207-DMRVL,Male,0,Yes,Yes
3419-SNJJD,Female,1,Yes,No
6543-CPZMK,Male,0,Yes,Yes
4765-OXPPD,Female,0,Yes,Yes
2804-ETQDK,Male,0,No,Yes
6689-VRRTK,Female,1,No,No
7138-GIRSH,Male,0,No,No
9396-ZSFLL,Female,0,No,No
6464-KEXXH,Male,0,No,No
7134-MJPDY,Female,1,No,No
5240-CAOYT,Female,0,No,No
4059-IIEBK,Female,0,No,No
4881-JVQOD,Male,1,Yes,Yes
0516-UXRMT,Female,0,No,No
4851-BQDNX,Male,0,Yes,Yes
5148-HKFIR,Female,0,No,No
1009-IRMNA,Female,0,No,No
3003-CMDUU,Female,0,Yes,No
5016-IBERQ,Male,0,Yes,No
6797-UCJHZ,Female,1,Yes,No
2469-DTSGX,Female,1,No,No
4554-YGZIH,Male,1,Yes,No
5099-BAILX,Male,1,Yes,Yes
9931-KGHOA,Female,0,Yes,No
1775-KWJKQ,Male,0,Yes,Yes
7665-VIGUD,Male,0,No,No
9411-TPQQV,Female,0,No,No
7207-RMRDB,Female,0,Yes,Yes
7954-MLBUN,Male,0,No,No
2077-DDHJK,Female,0,Yes,No
4913-EHYUI,Male,1,Yes,Yes
0195-IESCP,Male,0,Yes,No
9574-BOSMD,Male,0,Yes,Yes
4580-TMHJU,Female,0,Yes,Yes
0970-ETWGE,Male,0,No,No
4908-XAXAY,Female,1,No,No
8404-VLQFB,Female,0,Yes,Yes
1626-ERCMM,Male,1,Yes,No
0887-HJGAR,Male,0,No,No
2391-IPLOP,Male,0,Yes,Yes
5644-PDMZC,Female,1,No,No
3509-GWQGF,Male,1,No,No
9576-ANLXO,Female,0,No,No
2024-BASKD,Female,0,No,No
5845-BZZIB,Male,0,Yes,Yes
1140-UKVZG,Female,0,No,No
4160-AMJTL,Female,1,No,No
5183-SNMJQ,Male,0,No,No
8100-PNJMH,Male,0,Yes,Yes
7838-LAZFO,Male,0,Yes,No
4464-JCOLN,Male,0,Yes,Yes
2085-JVGAD,Male,0,Yes,No
5650-VDUDS,Female,0,No,No
8095-WANWK,Female,0,No,No
3030-ZKIWL,Male,0,No,No
9565-FLVCG,Male,0,Yes,Yes
8755-OGKNA,Female,0,Yes,Yes
2800-VEQXM,Female,0,No,No
7538-GWHML,Female,0,No,No
5533-RJFTJ,Male,0,No,No
3859-CVCET,Female,0,No,No
0214-JHPFW,Female,0,Yes,No
5642-MHDQT,Female,0,Yes,Yes
3088-FVYWK,Male,0,Yes,Yes
3276-HDUEG,Female,0,No,No
9092-GDZKO,Male,0,No,No
0823-HSCDJ,Male,1,No,No
3729-OWRVL,Male,1,No,No
2324-AALNO,Female,0,No,No
0822-GAVAP,Female,0,No,No
5760-IFJOZ,Male,0,No,No
2826-UWHIS,Male,0,Yes,No
1448-PWKYE,Male,0,Yes,Yes
7501-IWUNG,Female,0,Yes,Yes
4957-TREIR,Male,0,No,No
7251-LJBQN,Female,1,No,No
8040-MNRTF,Female,0,No,No
1536-HBSWP,Female,0,No,No
5313-FPXWG,Male,0,No,No
0067-DKWBL,Male,1,No,No
0946-FKYTX,Male,0,No,No
5076-YVXCM,Male,0,No,No
8262-COGGB,Male,0,No,No
6663-JOCQO,Male,0,Yes,Yes
9620-QJREV,Male,0,No,Yes
2276-YDAVZ,Female,0,No,No
2682-KEVRP,Female,1,No,No
2480-JZOSN,Female,0,Yes,No
0078-XZMHT,Male,0,Yes,No
5896-NPFWW,Male,0,Yes,Yes
9978-HYCIN,Male,1,Yes,Yes
8338-QIUNR,Male,0,Yes,Yes
1525-LNLOJ,Male,0,Yes,Yes
9450-TRJUU,Male,0,No,No
1766-GKNMI,Male,0,No,No
6942-LBFDP,Female,0,No,No
1456-TWCGB,Male,0,No,No
7133-VBDCG,Female,0,No,No
7596-ZYWBB,Female,0,No,No
8329-UTMVM,Male,1,No,No
3014-WJKSM,Male,0,Yes,No
