customerID,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
8168-UQWWF,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
8865-TNMNX,No,DSL,No,Yes,No,No,No,No
9489-DEDVP,Yes,DSL,Yes,Yes,No,No,Yes,No
9867-JCZSP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4671-VJLCL,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
4080-IIARD,Yes,DSL,Yes,Yes,No,Yes,Yes,No
3714-NTNFO,Yes,Fiber optic,No,No,No,No,No,Yes
5948-UJZLF,No,DSL,No,Yes,No,No,No,No
7760-OYPDY,No,Fiber optic,No,No,No,No,Yes,No
7639-LIAYI,Yes,DSL,Yes,No,No,Yes,Yes,Yes
2954-PIBKO,Yes,DSL,Yes,No,Yes,Yes,No,No
8012-SOUDQ,Yes,Fiber optic,No,Yes,No,No,Yes,No
9420-LOJKX,No,Fiber optic,Yes,Yes,No,No,Yes,Yes
6575-SUVOI,Yes,DSL,Yes,No,No,Yes,Yes,No
7495-OOKFY,Yes,Fiber optic,No,Yes,No,No,No,No
4667-QONEA,No,DSL,Yes,Yes,Yes,Yes,No,Yes
1658-BYGOY,Yes,Fiber optic,No,No,No,No,Yes,Yes
8769-KKTPH,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
5067-XJQFU,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3957-SQXML,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5954-BDFSG,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
0434-CSFON,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1215-FIGMP,Yes,Fiber optic,No,Yes,No,No,Yes,No
0526-SXDJP,No phone service,DSL,Yes,Yes,Yes,No,No,No
0557-ASKVU,No,DSL,No,No,Yes,Yes,No,No
5698-BQJOH,Yes,Fiber optic,No,No,No,No,Yes,Yes
5122-CYFXA,No,DSL,No,Yes,No,Yes,Yes,Yes
8627-ZYGSZ,Yes,Fiber optic,No,Yes,No,No,No,No
3410-YOQBQ,No,DSL,No,Yes,Yes,Yes,Yes,Yes
3170-NMYVV,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7410-OIEDU,No,Fiber optic,Yes,No,Yes,No,No,No
2273-QCKXA,No,DSL,No,No,No,Yes,No,No
0731-EBJQB,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1891-QRQSA,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
8028-PNXHQ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5630-AHZIL,No,DSL,Yes,No,No,Yes,No,Yes
2673-CXQEU,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
6416-JNVRK,No,DSL,No,No,No,No,No,Yes
5590-ZSKRV,No,DSL,Yes,Yes,No,No,No,No
0191-ZHSKZ,No,DSL,Yes,Yes,No,No,Yes,Yes
3887-PBQAO,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5919-TMRGD,No,Fiber optic,No,No,No,No,Yes,No
8108-UXRQN,No phone service,DSL,Yes,No,No,No,Yes,Yes
9191-MYQKX,No,Fiber optic,No,No,Yes,No,No,No
9919-YLNNG,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0318-ZOPWS,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4445-ZJNMU,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4808-YNLEU,No,DSL,Yes,No,No,No,Yes,No
1862-QRWPE,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2796-NNUFI,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3016-KSVCP,No phone service,DSL,No,No,No,No,Yes,No
4767-HZZHQ,No,Fiber optic,No,Yes,Yes,No,No,No
2424-WVHPL,No,Fiber optic,No,No,No,Yes,No,No
7233-PAHHL,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
6067-NGCEU,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9848-JQJTX,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
8637-XJIVR,Yes,Fiber optic,Yes,No,No,No,No,No
9803-FTJCG,Yes,DSL,Yes,Yes,No,Yes,No,No
0278-YXOOG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3212-KXOCR,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4598-XLKNJ,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
6380-ARCEH,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3679-XASPY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7123-WQUHX,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
5386-THSLQ,No phone service,DSL,No,Yes,Yes,No,Yes,No
3192-NQECA,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
6180-YBIQI,No phone service,DSL,No,No,No,No,No,No
6728-DKUCO,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
9750-BOOHV,No phone service,DSL,Yes,No,No,No,No,No
8597-CWYHH,Yes,Fiber optic,No,No,No,No,Yes,Yes
2848-YXSMW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0486-HECZI,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
4549-ZDQYY,No,DSL,Yes,No,Yes,Yes,No,No
5712-AHQNN,No,Fiber optic,No,Yes,Yes,No,Yes,No
4846-WHAFZ,Yes,Fiber optic,No,No,No,No,No,No
5256-SKJGO,No phone service,DSL,No,Yes,No,Yes,Yes,Yes
3071-VBYPO,No,Fiber optic,Yes,Yes,No,No,Yes,No
9560-BBZXK,No phone service,DSL,Yes,No,No,No,No,No
5299-RULOA,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
8402-OOOHJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9445-ZUEQE,Yes,Fiber optic,No,Yes,No,Yes,No,No
1091-SOZGA,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2928-HLDBA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0404-SWRVG,Yes,Fiber optic,No,No,No,No,No,No
6497-TILVL,No,DSL,Yes,No,No,No,No,No
7219-TLZHO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4622-YNKIJ,No,Fiber optic,Yes,No,No,Yes,Yes,No
4412-YLTKF,Yes,Fiber optic,No,No,Yes,No,No,No
6734-PSBAW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3930-ZGWVE,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2639-UGMAZ,No phone service,DSL,Yes,Yes,No,No,Yes,Yes
2876-GZYZC,Yes,Fiber optic,No,No,No,No,No,Yes
6207-WIOLX,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
8587-XYZSF,No,DSL,No,No,No,Yes,No,No
3091-FYHKI,No phone service,DSL,No,No,No,No,No,Yes
2372-HWUHI,No,DSL,No,No,No,No,No,No
7799-LGRDP,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7850-VWJUU,No,Fiber optic,Yes,No,No,No,No,No
3774-VBNXY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6217-KDYWC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0390-DCFDQ,No,Fiber optic,No,No,No,No,No,No
3146-MSEGF,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
4080-OGPJL,Yes,DSL,Yes,No,No,Yes,No,Yes
1095-WGNGG,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
2636-SJDOU,Yes,Fiber optic,Yes,Yes,No,No,No,No
1131-QQZEB,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5716-EZXZN,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
6837-BJYDQ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2135-RXIHG,No,DSL,No,No,No,No,No,No
6440-DKQGE,No,DSL,No,Yes,Yes,No,Yes,No
3466-BYAVD,No,DSL,No,Yes,Yes,Yes,No,Yes
3780-YVMFA,No,DSL,No,No,No,Yes,Yes,Yes
3874-EQOEP,Yes,Fiber optic,No,No,No,No,Yes,Yes
1679-JRFBR,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9073-ZZIAY,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3077-RSNTJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6551-GNYDG,No,Fiber optic,No,No,No,No,No,Yes
9167-APMXZ,Yes,Fiber optic,No,No,No,No,Yes,No
2749-CTKAJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6371-NZYEG,No,DSL,Yes,No,Yes,No,Yes,No
7554-NEWDD,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8992-VONJD,No,DSL,Yes,Yes,No,No,No,No
0867-MKZVY,Yes,Fiber optic,Yes,No,No,No,No,No
4482-EWFMI,No,Fiber optic,No,No,No,No,No,No
4648-YPBTM,Yes,DSL,No,Yes,Yes,Yes,No,Yes
2907-ILJBN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6345-FZOQH,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3376-BMGFE,No,Fiber optic,No,No,No,No,No,No
5997-OPVFA,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3445-HXXGF,No phone service,DSL,No,Yes,Yes,No,No,Yes
1159-WFSGR,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7654-YWJUF,No,Fiber optic,Yes,No,Yes,Yes,No,No
1875-QIVME,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
6727-IOTLZ,No,DSL,No,Yes,Yes,Yes,Yes,Yes
0691-JVSYA,No,Fiber optic,No,No,Yes,No,Yes,Yes
5918-VUKWP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1744-JHKYS,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2656-FMOKZ,Yes,Fiber optic,No,No,No,No,No,No
2070-FNEXE,No,Fiber optic,Yes,No,No,No,No,No
5947-SGKCL,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3712-PKXZA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6317-YPKDH,No phone service,DSL,No,Yes,No,No,No,No
6582-OIVSP,No,DSL,No,No,No,No,No,No
9367-WXLCH,Yes,Fiber optic,No,No,No,No,No,Yes
5524-KHNJP,No,DSL,Yes,No,Yes,No,Yes,Yes
1918-ZBFQJ,No,Fiber optic,No,Yes,Yes,No,No,No
1024-GUALD,No phone service,DSL,No,No,No,No,No,No
4827-USJHP,No,DSL,No,Yes,No,No,No,No
8167-GJLRN,No phone service,DSL,No,No,No,Yes,No,No
0956-SYCWG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8017-UVSZU,Yes,DSL,No,Yes,No,No,No,No
7100-FQPRV,Yes,DSL,Yes,No,No,Yes,No,Yes
2472-OVKUP,No,Fiber optic,No,Yes,Yes,No,No,Yes
2984-RGEYA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9680-NIAUV,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
2146-EGVDT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2604-IJPDU,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
9178-JHUVJ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6168-YBYNP,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7255-SSFBC,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3645-DEYGF,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9323-HGFWY,No,Fiber optic,Yes,No,No,Yes,Yes,Yes
8544-GOQSH,No,Fiber optic,No,Yes,No,Yes,No,No
3363-DTIVD,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
7018-WBJNK,No,Fiber optic,No,No,No,No,Yes,No
9142-KZXOP,No,Fiber optic,No,No,No,No,No,No
7674-YTAFD,No,Fiber optic,No,Yes,No,Yes,No,No
6348-SNFUS,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
1285-OKIPP,No,Fiber optic,No,No,No,No,No,Yes
7825-ECJRF,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1347-KTTTA,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7841-TZDMQ,No,DSL,No,No,No,No,No,No
4195-NZGTA,No phone service,DSL,No,No,No,No,No,No
7157-SMCFK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4709-LKHYG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2504-DSHIH,Yes,Fiber optic,No,No,No,No,No,Yes
0699-NDKJM,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
9286-BHDQG,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
0230-WEQUW,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
2040-LDIWQ,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6496-JDSSB,No,Fiber optic,No,No,No,No,Yes,No
9408-SSNVZ,No,Fiber optic,No,No,No,No,No,No
4443-EMBNA,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6469-MRVET,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0742-MOABM,No,DSL,No,No,No,Yes,No,No
5961-VUSRV,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6778-JFCMK,No phone service,DSL,Yes,No,No,No,Yes,Yes
6341-JVQGF,No,DSL,Yes,No,Yes,Yes,Yes,Yes
2232-DMLXU,No,DSL,No,No,No,No,Yes,No
4811-JBUVU,Yes,Fiber optic,No,No,No,Yes,No,Yes
0945-TSONX,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
2651-ZCBXV,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3316-UWXUY,No,Fiber optic,Yes,Yes,No,Yes,No,Yes
8937-RDTHP,No,Fiber optic,Yes,No,No,No,No,Yes
7083-MIOPC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1984-GPTEH,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1251-KRREG,Yes,DSL,No,Yes,No,No,No,No
0621-JFHOL,No phone service,DSL,No,No,No,Yes,No,No
9903-LYSAB,Yes,Fiber optic,No,No,No,No,No,No
0094-OIFMO,No,Fiber optic,No,Yes,No,No,Yes,Yes
9227-UAQFT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7301-ABVAD,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6614-FHDBO,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7576-ASEJU,No,DSL,Yes,No,No,Yes,Yes,Yes
9058-HRZSV,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
4522-AKYLR,No,DSL,No,Yes,Yes,No,No,No
0221-WMXNQ,No,Fiber optic,Yes,No,No,No,No,No
0303-UNCIP,Yes,DSL,No,No,Yes,No,No,Yes
9947-OTFQU,No,Fiber optic,No,Yes,No,No,No,No
0322-YINQP,No,DSL,Yes,No,No,No,No,No
0959-WHOKV,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes
4075-JFPGR,No,Fiber optic,Yes,Yes,Yes,No,Yes,No
4629-NRXKX,No,Fiber optic,No,No,No,No,No,No
9514-JDSKI,No phone service,DSL,No,Yes,No,No,Yes,No
3282-ZISZV,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
3675-YDUPJ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4111-BNXIF,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
7017-VFHAY,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6655-LHBYW,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
4959-JOSRX,No,DSL,No,No,No,No,No,No
5046-NUHWD,No phone service,DSL,Yes,No,Yes,No,No,Yes
7273-TEFQD,No phone service,DSL,No,No,Yes,No,No,Yes
3606-TWKGI,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
7529-ZDFXI,Yes,Fiber optic,No,Yes,No,No,No,Yes
7605-BDWDC,No phone service,DSL,Yes,Yes,No,Yes,No,Yes
1950-KSVVJ,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0123-CRBRT,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
6292-TOSSS,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3197-ARFOY,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
6323-AYBRX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7014-ZZXAW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4385-GZQXV,No,Fiber optic,No,No,No,Yes,Yes,Yes
7633-MVPUY,No,DSL,Yes,Yes,No,Yes,No,No
6366-ZGQGL,No phone service,DSL,No,No,No,No,No,No
4716-HHKQH,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
5940-AHUHD,No,Fiber optic,No,No,No,No,No,No
6432-TWQLB,Yes,Fiber optic,No,Yes,No,Yes,No,No
4484-GLZOU,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3179-GBRWV,No,DSL,Yes,Yes,No,No,No,Yes
8645-KWHJO,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
4130-MZLCC,No,DSL,No,Yes,No,No,No,No
0314-TKOSI,No,DSL,Yes,Yes,No,No,No,No
8229-MYEJZ,No,DSL,No,Yes,No,No,No,No
2080-SRCDE,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9577-WJVCQ,Yes,DSL,Yes,No,No,No,No,No
9512-UIBFX,No,Fiber optic,No,No,Yes,No,Yes,Yes
6202-DYYFX,Yes,Fiber optic,No,No,No,No,No,No
3808-HFKDE,No,DSL,No,No,No,No,No,No
5583-SXDAG,No,Fiber optic,No,No,No,No,No,No
3488-PGMQJ,No,Fiber optic,No,Yes,No,No,No,No
3580-REOAC,No,DSL,No,No,No,No,No,No
7534-BFESC,Yes,Fiber optic,No,No,No,No,No,No
3727-OWVYD,No,DSL,Yes,Yes,Yes,No,No,No
2294-SALNE,No,Fiber optic,No,Yes,Yes,Yes,No,No
4847-TAJYI,No,Fiber optic,No,No,No,No,Yes,Yes
1563-IWQEX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8203-XJZRC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6556-DBKZF,No,Fiber optic,No,No,Yes,No,No,No
6851-WEFYX,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2985-JUUBZ,Yes,DSL,No,No,Yes,No,Yes,Yes
6390-DSAZX,No,Fiber optic,Yes,No,No,No,No,No
0895-LMRSF,No,DSL,No,No,No,No,Yes,Yes
8098-LLAZX,Yes,Fiber optic,No,No,No,No,Yes,Yes
8266-VBFQL,No,Fiber optic,No,No,Yes,Yes,No,Yes
8181-YHCMF,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
2240-HSJQD,Yes,Fiber optic,No,Yes,No,No,No,No
1248-DYXUB,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0265-EDXBD,Yes,Fiber optic,No,No,No,No,No,No
4115-BNPJY,No,DSL,No,No,Yes,Yes,Yes,Yes
3167-SNQPL,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4091-TVOCN,Yes,DSL,Yes,No,Yes,No,Yes,Yes
1098-TDVUQ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7277-OZCGZ,No,Fiber optic,Yes,No,No,Yes,No,Yes
1557-EMYVT,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2799-ARNLO,No,Fiber optic,No,No,No,No,No,No
7563-BIUPC,No,Fiber optic,No,No,No,No,Yes,No
5027-YOCXN,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3973-SKMLN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2321-OMBXY,No,DSL,Yes,Yes,No,Yes,Yes,Yes
2840-XANRC,No,Fiber optic,No,No,Yes,No,Yes,Yes
6745-JEFZB,Yes,Fiber optic,No,No,No,Yes,Yes,No
5020-ZSTTY,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
9880-TDQAC,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
8705-WZCYL,No,DSL,No,No,No,No,No,No
7102-JJVTX,No,DSL,Yes,No,No,No,No,No
8626-PTQGE,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes
4983-CLMLV,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
5701-YVSVF,No,Fiber optic,No,No,No,Yes,Yes,No
5804-LEPIM,No,Fiber optic,No,No,No,No,No,No
5697-GOMBF,No phone service,DSL,No,No,No,No,Yes,No
2739-CACDQ,Yes,Fiber optic,No,No,Yes,No,No,No
9385-EHGDO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9498-FIMXL,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2379-GYFLQ,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
0122-OAHPZ,Yes,Fiber optic,No,No,No,No,No,No
2868-SNELZ,Yes,Fiber optic,No,No,Yes,No,No,No
4322-RCYMT,Yes,DSL,No,Yes,Yes,Yes,No,Yes
6680-NENYN,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2088-IEBAU,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7982-VCELR,No,Fiber optic,No,Yes,No,No,Yes,Yes
1343-EHPYB,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
6035-BXTTY,No,DSL,No,Yes,No,Yes,No,No
6885-PKOAM,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7520-HQWJU,Yes,DSL,Yes,Yes,Yes,No,No,No
9639-BUJXT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5924-SNGKP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0021-IKXGC,Yes,Fiber optic,No,No,No,No,No,No
2034-GDRCN,No,Fiber optic,No,No,No,No,Yes,Yes
8966-SNIZF,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6243-OZGFH,No phone service,DSL,No,No,No,No,Yes,Yes
4654-DLAMQ,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
0513-RBGPE,Yes,DSL,Yes,No,Yes,Yes,No,No
5160-UXJED,No,DSL,No,No,No,No,No,No
4115-NZRKS,No,Fiber optic,No,No,No,No,Yes,Yes
0219-YTZUE,Yes,Fiber optic,No,Yes,Yes,No,No,No
0623-IIHUG,No phone service,DSL,Yes,No,No,No,Yes,No
4572-DVCGN,No,Fiber optic,No,No,No,No,No,Yes
3351-NGXYI,Yes,DSL,Yes,No,No,No,No,No
8984-EYLLL,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
9057-MSWCO,No phone service,DSL,Yes,No,No,No,No,No
9833-TGFHX,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
9294-TDIPC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5229-DTFYB,No,Fiber optic,No,Yes,No,Yes,Yes,Yes
0104-PPXDV,No,DSL,No,No,Yes,No,No,No
5176-LMJXE,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3583-KRKMD,No,Fiber optic,No,No,No,Yes,No,No
1010-DIAUQ,No,Fiber optic,No,No,Yes,No,Yes,Yes
9069-LGEUL,No,DSL,Yes,No,No,No,No,Yes
7302-ZHMHP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9571-EDEBV,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
3520-FJGCV,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6563-VRERX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0259-GBZSH,Yes,Fiber optic,No,No,No,No,Yes,No
6122-EFVKN,No phone service,DSL,Yes,No,No,Yes,No,No
2805-EDJPQ,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes
6862-CQUMB,No,Fiber optic,No,Yes,No,No,Yes,Yes
7156-MXBJE,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6158-HDPXZ,No phone service,DSL,No,No,No,No,No,No
