customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9867-JCZSP,17,Yes,One year,No,Mailed check,20.75,418.25,No
4671-VJLCL,63,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,No
4080-IIARD,13,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,No
3714-NTNFO,49,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No
5948-UJZLF,2,Yes,Month-to-month,No,Mailed check,49.25,97,No
7760-OYPDY,2,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,Yes
7639-LIAYI,52,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,69,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,No
8012-SOUDQ,43,Yes,Month-to-month,Yes,Electronic check,90.25,3838.75,No
9420-LOJKX,15,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes
6575-SUVOI,25,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,8,Yes,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,60,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No
1658-BYGOY,18,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes
8769-KKTPH,63,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,66,Yes,One year,Yes,Electronic check,108.45,7076.35,No
3957-SQXML,34,Yes,Two year,No,Credit card (automatic),24.95,894.3,No
5954-BDFSG,72,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No
0434-CSFON,47,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No
1215-FIGMP,60,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No
0526-SXDJP,72,No,Two year,No,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,18,Yes,One year,Yes,Credit card (automatic),54.4,957.1,No
5698-BQJOH,9,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes
5122-CYFXA,3,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No
8627-ZYGSZ,47,Yes,One year,Yes,Electronic check,78.9,3650.35,No
3410-YOQBQ,31,Yes,Two year,No,Mailed check,79.2,2497.2,No
3170-NMYVV,50,Yes,Two year,No,Bank transfer (automatic),20.15,930.9,No
7410-OIEDU,10,Yes,Month-to-month,Yes,Mailed check,79.85,887.35,No
2273-QCKXA,1,Yes,Month-to-month,No,Mailed check,49.05,49.05,No
0731-EBJQB,52,Yes,One year,Yes,Electronic check,20.4,1090.65,No
1891-QRQSA,64,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No
8028-PNXHQ,62,Yes,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No
5630-AHZIL,3,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No
2673-CXQEU,56,Yes,One year,No,Electronic check,110.5,6139.5,No
6416-JNVRK,46,Yes,One year,No,Credit card (automatic),55.65,2688.85,No
5590-ZSKRV,8,Yes,Month-to-month,No,Mailed check,54.65,482.25,No
0191-ZHSKZ,30,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No
3887-PBQAO,45,Yes,One year,Yes,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,1,Yes,Month-to-month,Yes,Electronic check,79.35,79.35,Yes
8108-UXRQN,11,No,Month-to-month,No,Electronic check,50.55,565.35,No
9191-MYQKX,7,Yes,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,42,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,49,Yes,Two year,Yes,Bank transfer (automatic),20.15,973.35,No
4445-ZJNMU,9,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No
4808-YNLEU,35,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45,No
1862-QRWPE,48,Yes,Two year,No,Bank transfer (automatic),20.65,1057,No
2796-NNUFI,46,Yes,Two year,Yes,Mailed check,19.95,927.1,No
3016-KSVCP,29,No,Month-to-month,No,Mailed check,33.75,1009.25,No
4767-HZZHQ,30,Yes,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,1,Yes,Month-to-month,No,Electronic check,74.7,74.7,No
7233-PAHHL,66,Yes,Two year,Yes,Mailed check,84,5714.25,No
6067-NGCEU,65,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No
9848-JQJTX,72,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,12,Yes,Month-to-month,Yes,Electronic check,78.95,927.35,Yes
9803-FTJCG,71,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,No
0278-YXOOG,5,Yes,Month-to-month,No,Mailed check,21.05,113.85,Yes
3212-KXOCR,52,Yes,Two year,No,Bank transfer (automatic),21,1107.2,No
4598-XLKNJ,25,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes
6380-ARCEH,1,Yes,Month-to-month,No,Mailed check,20.2,20.2,No
3679-XASPY,1,Yes,Month-to-month,No,Electronic check,19.45,19.45,No
7123-WQUHX,38,Yes,One year,No,Bank transfer (automatic),95,3605.6,No
5386-THSLQ,66,No,One year,No,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,68,Yes,Two year,Yes,Bank transfer (automatic),110,7611.85,Yes
6180-YBIQI,5,No,Month-to-month,No,Mailed check,24.3,100.2,No
6728-DKUCO,72,Yes,One year,Yes,Electronic check,104.15,7303.05,No
9750-BOOHV,32,No,One year,No,Mailed check,30.15,927.65,No
8597-CWYHH,43,Yes,One year,No,Mailed check,94.35,3921.3,No
2848-YXSMW,72,Yes,Two year,No,Credit card (automatic),19.4,1363.25,No
0486-HECZI,55,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,52,Yes,One year,No,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,43,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1,No
4846-WHAFZ,37,Yes,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes
5256-SKJGO,64,No,Two year,Yes,Electronic check,54.6,3423.5,No
3071-VBYPO,3,Yes,Month-to-month,No,Electronic check,89.85,248.4,No
9560-BBZXK,36,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No
5299-RULOA,10,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes
8402-OOOHJ,41,Yes,Two year,No,Mailed check,20.65,835.15,No
9445-ZUEQE,27,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No
1091-SOZGA,56,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,6,Yes,Month-to-month,No,Mailed check,20.7,112.75,No
0404-SWRVG,3,Yes,Month-to-month,Yes,Electronic check,74.4,229.55,Yes
6497-TILVL,7,Yes,Month-to-month,No,Mailed check,50.7,350.35,No
7219-TLZHO,4,Yes,Month-to-month,No,Mailed check,20.85,62.9,No
4622-YNKIJ,33,Yes,Two year,Yes,Electronic check,88.95,3027.65,No
4412-YLTKF,27,Yes,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes
6734-PSBAW,72,Yes,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,1,Yes,Month-to-month,No,Mailed check,19.75,19.75,No
2639-UGMAZ,71,No,One year,Yes,Electronic check,56.45,3985.35,No
2876-GZYZC,13,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No
6207-WIOLX,25,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes
8587-XYZSF,67,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,1,No,Month-to-month,Yes,Electronic check,35.45,35.45,Yes
2372-HWUHI,2,Yes,Month-to-month,No,Electronic check,44.35,81.25,Yes
7799-LGRDP,43,Yes,Two year,Yes,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,23,Yes,Month-to-month,Yes,Bank transfer (automatic),75,1778.5,No
3774-VBNXY,64,Yes,Two year,No,Mailed check,20.2,1277.75,No
6217-KDYWC,57,Yes,Two year,Yes,Mailed check,19.6,1170.55,No
0390-DCFDQ,1,Yes,Month-to-month,Yes,Mailed check,70.45,70.45,Yes
3146-MSEGF,72,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,8,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes
1095-WGNGG,61,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,64,Yes,One year,Yes,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,71,Yes,Two year,No,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,65,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,No
6837-BJYDQ,3,Yes,One year,No,Mailed check,19.6,61.35,No
2135-RXIHG,1,Yes,Month-to-month,Yes,Electronic check,45.65,45.65,Yes
6440-DKQGE,30,Yes,One year,No,Credit card (automatic),64.5,1929.95,No
3466-BYAVD,15,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,No
3780-YVMFA,8,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,No
3874-EQOEP,7,Yes,Month-to-month,No,Mailed check,95,655.5,Yes
1679-JRFBR,70,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,62,Yes,Two year,No,Electronic check,86.1,5215.25,No
3077-RSNTJ,6,Yes,Month-to-month,No,Mailed check,19.7,113.5,No
6551-GNYDG,14,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,22,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,No
2749-CTKAJ,22,Yes,One year,No,Mailed check,20.15,419.9,No
6371-NZYEG,16,Yes,Two year,No,Mailed check,64.25,1024,No
7554-NEWDD,10,Yes,Two year,No,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,13,Yes,Month-to-month,Yes,Electronic check,56,764.55,No
0867-MKZVY,20,Yes,Month-to-month,No,Electronic check,82.4,1592.35,Yes
4482-EWFMI,2,Yes,Month-to-month,Yes,Electronic check,69.7,135.2,No
4648-YPBTM,53,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No
2907-ILJBN,11,Yes,One year,No,Mailed check,20.6,233.9,No
6345-FZOQH,69,Yes,Two year,No,Mailed check,19.9,1363.45,No
3376-BMGFE,4,Yes,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes
5997-OPVFA,72,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,No
3445-HXXGF,58,No,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes
1159-WFSGR,16,Yes,Month-to-month,No,Electronic check,20.4,321.4,No
7654-YWJUF,43,Yes,One year,Yes,Bank transfer (automatic),84.25,3539.25,No
1875-QIVME,2,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes
6727-IOTLZ,14,Yes,Two year,No,Mailed check,81.95,1181.75,No
0691-JVSYA,53,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes
5918-VUKWP,32,Yes,One year,No,Bank transfer (automatic),20.55,654.55,No
1744-JHKYS,34,Yes,Month-to-month,No,Electronic check,24.7,780.2,No
2656-FMOKZ,15,Yes,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes
2070-FNEXE,7,Yes,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes
5947-SGKCL,15,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,No
3712-PKXZA,61,Yes,One year,Yes,Credit card (automatic),20.55,1252,No
6317-YPKDH,1,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes
6582-OIVSP,1,Yes,Month-to-month,No,Mailed check,45.3,45.3,No
9367-WXLCH,8,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes
5524-KHNJP,33,Yes,One year,No,Credit card (automatic),74.75,2453.3,No
1918-ZBFQJ,13,Yes,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes
1024-GUALD,1,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes
4827-USJHP,20,Yes,Month-to-month,Yes,Mailed check,51.8,1023.85,No
8167-GJLRN,3,No,Month-to-month,No,Electronic check,30.4,82.15,No
0956-SYCWG,13,Yes,One year,No,Electronic check,19.65,244.8,No
8017-UVSZU,40,Yes,Month-to-month,No,Credit card (automatic),56.6,2379.1,No
7100-FQPRV,43,Yes,One year,Yes,Credit card (automatic),71.9,3173.35,No
2472-OVKUP,6,Yes,Month-to-month,Yes,Electronic check,91,531,Yes
2984-RGEYA,69,Yes,Two year,No,Bank transfer (automatic),19.75,1375.4,No
9680-NIAUV,72,Yes,Two year,No,Credit card (automatic),109.7,8129.3,No
2146-EGVDT,59,Yes,Two year,No,Credit card (automatic),19.3,1192.7,No
2604-IJPDU,20,Yes,Month-to-month,Yes,Electronic check,96.55,1901.65,No
9178-JHUVJ,24,Yes,Two year,Yes,Bank transfer (automatic),24.1,587.4,No
6168-YBYNP,59,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,No
7255-SSFBC,72,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65,No
3645-DEYGF,1,Yes,Month-to-month,No,Mailed check,20.75,20.75,No
9323-HGFWY,27,Yes,One year,Yes,Credit card (automatic),101.9,2681.15,No
8544-GOQSH,14,Yes,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,No
3363-DTIVD,71,Yes,Two year,No,Electronic check,105.55,7405.5,No
7018-WBJNK,13,Yes,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,No
9142-KZXOP,44,Yes,Month-to-month,No,Credit card (automatic),68.85,2958.95,No
7674-YTAFD,33,Yes,One year,Yes,Bank transfer (automatic),79.95,2684.85,No
6348-SNFUS,72,No,Two year,Yes,Credit card (automatic),55.45,4179.2,No
1285-OKIPP,1,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes
7825-ECJRF,19,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes
1347-KTTTA,64,Yes,One year,Yes,Credit card (automatic),102.45,6654.1,No
7841-TZDMQ,2,Yes,Month-to-month,Yes,Credit card (automatic),46,84.5,Yes
4195-NZGTA,1,No,Month-to-month,No,Electronic check,25.25,25.25,No
7157-SMCFK,61,Yes,Two year,No,Mailed check,19.75,1124.2,No
4709-LKHYG,29,Yes,One year,No,Electronic check,20,540.05,No
2504-DSHIH,23,Yes,Month-to-month,No,Electronic check,86.8,1975.85,No
0699-NDKJM,57,No,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,No
9286-BHDQG,72,No,Two year,No,Credit card (automatic),45.25,3139.8,No
0230-WEQUW,66,No,Two year,Yes,Bank transfer (automatic),56.6,3789.2,No
2040-LDIWQ,65,Yes,Two year,Yes,Bank transfer (automatic),84.2,5324.5,No
6496-JDSSB,8,Yes,Month-to-month,Yes,Bank transfer (automatic),80,624.6,No
9408-SSNVZ,4,Yes,Month-to-month,Yes,Electronic check,70.15,268.35,Yes
4443-EMBNA,71,Yes,Two year,No,Bank transfer (automatic),24.75,1836.9,No
6469-MRVET,1,Yes,One year,Yes,Electronic check,20.2,20.2,No
0742-MOABM,4,Yes,Month-to-month,No,Mailed check,50.05,179.35,Yes
5961-VUSRV,12,Yes,One year,Yes,Bank transfer (automatic),19.35,219.35,No
6778-JFCMK,24,No,One year,Yes,Mailed check,50.6,1288.75,No
6341-JVQGF,31,Yes,One year,Yes,Mailed check,81.15,2545.75,No
2232-DMLXU,1,Yes,Month-to-month,No,Mailed check,55.2,55.2,Yes
4811-JBUVU,30,Yes,Month-to-month,Yes,Credit card (automatic),89.9,2723.15,No
0945-TSONX,47,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25,No
2651-ZCBXV,54,Yes,Two year,Yes,Credit card (automatic),108,5760.65,No
3316-UWXUY,50,Yes,Month-to-month,Yes,Credit card (automatic),93.5,4747.5,No
8937-RDTHP,1,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes
7083-MIOPC,72,Yes,Two year,No,Credit card (automatic),20.25,1566.9,No
1984-GPTEH,29,Yes,Month-to-month,No,Electronic check,25.15,702,No
1251-KRREG,2,Yes,Month-to-month,Yes,Mailed check,54.4,114.1,Yes
0621-JFHOL,10,No,Two year,Yes,Mailed check,29.6,299.05,No
9903-LYSAB,18,Yes,Month-to-month,Yes,Electronic check,73.15,1305.95,No
0094-OIFMO,11,Yes,Month-to-month,Yes,Electronic check,95,1120.3,Yes
9227-UAQFT,16,Yes,Two year,No,Mailed check,19.75,284.35,No
7301-ABVAD,72,Yes,Two year,No,Bank transfer (automatic),86.6,6350.5,No
6614-FHDBO,72,Yes,Two year,No,Bank transfer (automatic),109.2,7878.3,No
7576-ASEJU,41,Yes,One year,Yes,Credit card (automatic),74.7,3187.65,No
9058-HRZSV,65,Yes,Month-to-month,No,Electronic check,94.4,6126.15,No
4522-AKYLR,13,Yes,Month-to-month,Yes,Electronic check,54.8,731.3,No
0221-WMXNQ,4,Yes,Month-to-month,No,Electronic check,75.35,273.4,No
0303-UNCIP,41,Yes,One year,No,Mailed check,65,2531.8,No
9947-OTFQU,15,Yes,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes
0322-YINQP,1,Yes,Month-to-month,Yes,Mailed check,48.55,48.55,Yes
0959-WHOKV,42,Yes,One year,Yes,Electronic check,99,4298.45,No
4075-JFPGR,51,Yes,One year,Yes,Electronic check,93.5,4619.55,No
4629-NRXKX,2,Yes,Month-to-month,No,Electronic check,70.4,147.15,Yes
9514-JDSKI,1,No,Month-to-month,No,Electronic check,40.2,40.2,Yes
3282-ZISZV,32,Yes,One year,No,Credit card (automatic),83.7,2633.3,No
3675-YDUPJ,10,Yes,Month-to-month,Yes,Mailed check,19.85,193.05,No
4111-BNXIF,67,No,Two year,Yes,Electronic check,59.55,4103.9,No
7017-VFHAY,61,Yes,Two year,No,Credit card (automatic),115.1,7008.15,No
6655-LHBYW,50,Yes,One year,No,Credit card (automatic),114.35,5791.1,No
4959-JOSRX,2,Yes,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes
5046-NUHWD,29,No,Month-to-month,Yes,Electronic check,45,1228.65,No
7273-TEFQD,3,No,Month-to-month,Yes,Electronic check,41.15,132.2,Yes
3606-TWKGI,13,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes
7529-ZDFXI,57,Yes,Month-to-month,Yes,Electronic check,89.85,4925.35,No
7605-BDWDC,31,No,Two year,Yes,Bank transfer (automatic),49.85,1520.1,No
1950-KSVVJ,45,Yes,One year,No,Mailed check,113.3,5032.25,No
0123-CRBRT,61,Yes,Two year,No,Mailed check,88.1,5526.75,No
6292-TOSSS,50,Yes,Two year,No,Bank transfer (automatic),24.9,1195.25,No
3197-ARFOY,19,Yes,Month-to-month,Yes,Mailed check,105,2007.25,No
6323-AYBRX,59,Yes,Two year,No,Mailed check,19.35,1099.6,Yes
7014-ZZXAW,71,Yes,Two year,Yes,Credit card (automatic),24.25,1732.95,No
4385-GZQXV,16,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes
7633-MVPUY,57,Yes,Two year,Yes,Electronic check,59.75,3450.15,No
6366-ZGQGL,1,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes
4716-HHKQH,20,Yes,Month-to-month,No,Electronic check,107.05,2172.05,No
5940-AHUHD,1,Yes,Month-to-month,No,Mailed check,70.6,70.6,Yes
6432-TWQLB,5,Yes,Month-to-month,Yes,Electronic check,85.4,401.1,Yes
4484-GLZOU,52,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes
3179-GBRWV,21,Yes,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8,No
8645-KWHJO,14,No,Month-to-month,Yes,Electronic check,55,771.95,No
4130-MZLCC,5,Yes,Month-to-month,No,Bank transfer (automatic),50.55,244.75,No
0314-TKOSI,6,Yes,Month-to-month,No,Mailed check,55.15,322.9,No
8229-MYEJZ,10,Yes,Month-to-month,No,Electronic check,51.2,498.25,No
2080-SRCDE,1,Yes,Month-to-month,No,Mailed check,25.4,25.4,No
9577-WJVCQ,68,Yes,Month-to-month,No,Mailed check,54.45,3687.75,No
9512-UIBFX,18,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes
6202-DYYFX,22,Yes,One year,Yes,Credit card (automatic),76,1783.6,No
3808-HFKDE,20,Yes,Month-to-month,Yes,Electronic check,44.35,927.15,No
5583-SXDAG,1,Yes,Month-to-month,No,Electronic check,70,70,Yes
3488-PGMQJ,8,Yes,Month-to-month,Yes,Electronic check,74.5,606.55,Yes
3580-REOAC,10,Yes,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes
7534-BFESC,24,Yes,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes
3727-OWVYD,35,Yes,One year,No,Mailed check,61.2,2021.2,No
2294-SALNE,23,Yes,One year,No,Mailed check,86.8,1940.8,No
4847-TAJYI,6,Yes,Month-to-month,Yes,Electronic check,89.35,567.8,No
1563-IWQEX,12,Yes,Month-to-month,No,Mailed check,19.7,220.35,No
8203-XJZRC,1,Yes,Month-to-month,No,Mailed check,20.25,20.25,No
6556-DBKZF,71,Yes,Two year,No,Electronic check,76.05,5436.45,No
6851-WEFYX,35,Yes,Month-to-month,Yes,Electronic check,100.8,3437.5,No
2985-JUUBZ,40,Yes,Month-to-month,Yes,Electronic check,74.55,3015.75,No
6390-DSAZX,1,Yes,Month-to-month,Yes,Mailed check,73.6,73.6,Yes
0895-LMRSF,23,Yes,One year,Yes,Bank transfer (automatic),64.9,1509.8,No
8098-LLAZX,4,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes
8266-VBFQL,4,Yes,Month-to-month,Yes,Electronic check,90.4,356.65,No
8181-YHCMF,68,No,Two year,No,Credit card (automatic),60.3,4109,No
2240-HSJQD,38,Yes,Month-to-month,Yes,Mailed check,81.85,3141.7,No
1248-DYXUB,52,Yes,Two year,No,Mailed check,24.8,1229.1,No
0265-EDXBD,32,Yes,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes
4115-BNPJY,29,Yes,Two year,No,Mailed check,75.55,2054.4,No
3167-SNQPL,38,Yes,Month-to-month,No,Electronic check,101.15,3741.85,No
4091-TVOCN,48,Yes,One year,Yes,Credit card (automatic),78.75,3682.45,No
1098-TDVUQ,1,Yes,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25,No
7277-OZCGZ,22,Yes,Month-to-month,Yes,Electronic check,89.05,1886.25,No
1557-EMYVT,43,Yes,Two year,No,Credit card (automatic),115.05,4895.1,No
2799-ARNLO,5,Yes,Month-to-month,Yes,Electronic check,69.35,341.6,No
7563-BIUPC,5,Yes,Month-to-month,Yes,Electronic check,80.6,415.55,Yes
5027-YOCXN,51,Yes,One year,No,Credit card (automatic),110.05,5686.4,No
3973-SKMLN,71,Yes,Two year,Yes,Credit card (automatic),19.9,1355.1,No
2321-OMBXY,38,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes
2840-XANRC,24,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes
6745-JEFZB,35,Yes,Month-to-month,Yes,Credit card (automatic),91.5,3236.35,No
5020-ZSTTY,54,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes
9880-TDQAC,72,No,Two year,Yes,Electronic check,60,4264,No
8705-WZCYL,1,Yes,Month-to-month,Yes,Electronic check,44.8,44.8,No
7102-JJVTX,9,Yes,One year,No,Mailed check,48.6,422.3,No
8626-PTQGE,69,No,Two year,Yes,Bank transfer (automatic),60.05,4176.7,No
4983-CLMLV,52,Yes,Month-to-month,Yes,Credit card (automatic),102.7,5138.1,No
5701-YVSVF,11,Yes,Month-to-month,Yes,Electronic check,82.9,880.05,No
5804-LEPIM,2,Yes,Month-to-month,Yes,Electronic check,70.35,139.05,Yes
5697-GOMBF,28,No,Month-to-month,Yes,Electronic check,35.9,973.65,No
